tree,martelo,country,quadrant,species,social_status,DBH_cm,utmX,utmY,quality,Health,microhabitat,Total_height_m,Crownbase_height_m,V_m3ha,Bs_kg,B2_kg,B2_7_kg,B7_kg,Bs_B7.q.p_kg,B_kg,B,spNum,simpson,shannon,Even,D,MS,Mi,W,S,TH,A,G_m2ha,Hzones.st,Atmp,A.st,distij,MVij,Hzones.qd,Vij,THij
2714,Marugan,Spain,5,Pinus pinea,dominant,28.6,368683,4587376,inclinated,healthy,other,9,4.6,0.137,132.8921384,54.313772,42.9429,9.19087,0,239.3396804,0.23933968,2,0.913580247,2.467534649,0.993008993,1.333333333,0.166666667,0.333333333,0.333333333,0.370358767,0.440740741,1.945910149,0.064242428173258,zone2,4.604106009,1.85282856,4.242640687,0,zone3,1,0.611111111
2715,Marugan,Spain,5,Pinus pinea,dominate,6.4,368686,4587379,inclinated,healthy,other,3.5,2,0.705,2.851679187,14.928372,2.1504,0,0,19.93045119,0.019930451,2,0.913580247,2.467534649,0.993008993,1.333333333,0.166666667,0.333333333,0.666666667,0.370358767,0.411589008,1.373003913,0.003216990877276,zone1,5.670455893,2.281959322,4.242640687,0,zone1,1,0.611111111
2716,Marugan,Spain,6,Pinus pinea,dominant,43.35,368689,4587395,inclinated,healthy,other,11.8,5.7,0.73,389.7152416,121.4294308,98.65918125,107.3764575,0,717.1803111,0.717180311,2,0.963235294,3.332089208,0.989544541,1.933333333,0.333333333,0.666666667,0.333333333,0.495584433,0.621468927,1.098612289,0.147593790011516,zone3,3.33220451,1.340977743,5,1,zone3,1,0.627118644
2717,Marugan,Spain,6,Pinus pinea,dominate,12.9,368682,4587397,inclinated,healthy,other,5.2,2.6,0.223,16.4336578,18.991787,8.736525,0,0,44.1619698,0.04416197,2,0.963235294,3.332089208,0.989544541,1.933333333,0.166666667,0.333333333,0.666666667,0.370358767,0.18698392,3.051198912,0.013069810837097,zone1,5.670455893,2.281959322,2.236067977,1,zone1,1,0.269230769
2718,Marugan,Spain,6,Pinus pinea,dominate,16.85,368680,4587399,inclinated,healthy,other,5.9,2.9,0.623,31.24129959,25.32102075,14.90593125,0,0,71.46825159,0.071468252,2,0.963235294,3.332089208,0.989544541,1.933333333,0.166666667,0.333333333,0.666666667,0.370358767,0.248587571,3.051198912,0.022299221004721,zone1,5.670455893,2.281959322,2.828427125,0,zone1,0,0.118644068
2719,Marugan,Spain,5,Pinus pinea,dominant,42.65,368681,4587388,inclinated,healthy,other,9.9,5.1,0.577,315.815381,122.5445908,95.49868125,100.2875575,0,634.1462105,0.634146211,2,0.913580247,2.467534649,0.993008993,1.333333333,0,0,0.666666667,0.2451331,0.346801347,1.945910149,0.142865693067863,zone2,4.604106009,1.85282856,8.062257748,0,zone3,1,0.121212121
2720,Marugan,Spain,5,Pinus pinea,dominant,31.55,368677,4587381,others,healthy,other,8.7,3.9,0.477,155.0514274,67.70705675,52.25863125,20.2299175,0,295.2470329,0.295247033,2,0.913580247,2.467534649,0.993008993,1.333333333,0.166666667,0.333333333,0.333333333,0.2451331,0.517241379,1.945910149,0.078178729534123,zone2,4.604106009,1.85282856,4,0,zone3,0,0.505747126
2721,Marugan,Spain,5,Pinus pinea,dominant,21.9,368697,4587372,inclinated,healthy,other,6.5,2.7,0.533,57.08534572,37.459927,25.179525,0,0,119.7247977,0.119724798,2,0.913580247,2.467534649,0.993008993,1.333333333,0.166666667,0.333333333,0.666666667,0.370358767,0.299076372,0,0.037668481314705,zone1,5.670455893,2.281959322,7.615773106,1,zone2,1,0.246153846
2722,Marugan,Spain,5,Quercus faginea,dominate,14.75,368704,4587375,others,healthy,other,4.9,2.5,0.035,33.504625,12.86338281,21.25542113,18.73213125,0,86.35556019,0.08635556,3,0.913580247,2.467534649,0.993008993,1.333333333,0.25,1,0.666666667,0.6208101,0.374500262,1.373003913,0.017087318792416,zone1,5.670455893,2.281959322,7.187913466,1,zone1,1,0.367346939
2723,Marugan,Spain,5,Pinus pinea,dominant,37.25,368696,4587380,inclinated,healthy,other,10,4.7,0.561,245.9369876,91.75766875,72.84703125,53.7379375,0,464.2796251,0.464279625,2,0.913580247,2.467534649,0.993008993,1.333333333,0.166666667,0.333333333,0.666666667,0.370358767,0.316666667,1.945910149,0.108978903909917,zone2,4.604106009,1.85282856,4,1,zone3,0,0.53
2724,Marugan,Spain,5,Pinus pinea,dominant,37.5,368691,4587377,inclinated,healthy,other,9.3,4.5,0.528,231.3581568,95.057775,73.828125,55.575,0,455.8190568,0.455819057,2,0.913580247,2.467534649,0.993008993,1.333333333,0.333333333,0.666666667,0.666666667,0.495584433,0.580645161,1.945910149,0.110446616727766,zone2,4.604106009,1.85282856,3.16227766,1,zone3,1,0.494623656
2725,Marugan,Spain,5,Quercus faginea,dominate,9.2,368692,4587380,others,healthy,other,4.7,2.1,0.013,13.03456,5.050892,8.37038816,7.287504,0,33.74334416,0.033743344,3,0.913580247,2.467534649,0.993008993,1.333333333,0.25,1,1,0.6208101,0.426647602,1.373003913,0.006647610054996,zone1,5.670455893,2.281959322,3.16227766,1,zone1,1,0.494623656
2726,Marugan,Spain,5,Pinus pinea,dominate,39.15,368698,4587390,inclinated,healthy,other,10.4,5.4,0.642,281.6652616,100.8896808,80.46793125,68.4739575,0,531.4968311,0.531496831,2,0.913580247,2.467534649,0.993008993,1.333333333,0.333333333,0.666666667,0,0.2451331,0.525641026,1.945910149,0.120379743649795,zone2,4.604106009,1.85282856,2.236067977,0,zone3,0,0.596153846
2727,Marugan,Spain,9,Pinus pinea,dominant,6.8,368707.156,4587381.458,inclinated,healthy,other,3.1,1.2,0.017,2.831441753,16.432468,2.4276,0,0,21.69150975,0.02169151,2,0.957196208,3.195729111,0.980857711,2.166666667,0.333333333,0.666666667,1,0.495584433,0.12244898,2.931717264,0.00363168110755,zone1,5.670455893,2.281959322,3.140803878,0,zone1,1,0
2728,Marugan,Spain,9,Pinus pinea,dominant,7.7,368707.391,4587384.59,inclinated,healthy,other,3.1,1.2,0.483,3.595958387,17.355103,3.112725,0,0,24.06378639,0.024063786,2,0.957196208,3.195729111,0.980857711,2.166666667,0.333333333,0.666666667,1,0.495584433,0.046296296,2.931717264,0.004656625710783,zone1,5.670455893,2.281959322,3.140803878,0,zone1,1,0
2729,Marugan,Spain,9,Juniperus thurifera,codominant,7.9,368701,4587387,others,healthy,other,6.1,0,0.367,15.4824832,13.15587,3.01515192,0,0,31.65350512,0.031653505,1,0.957196208,3.195729111,0.980857711,2.166666667,0.333333333,0.666666667,0.666666667,0.2451331,0.329077343,0.636514168,0.004901669937763,zone1,5.670455893,2.281959322,1,0,zone2,1,0.262295082
2730,Marugan,Spain,9,Juniperus thurifera,codominant,5.7,368702,4587387,others,healthy,other,4.5,0,0.516,7.495956,7.00245,1.1579436,0,0,15.6563496,0.01565635,1,0.957196208,3.195729111,0.980857711,2.166666667,0.333333333,0.666666667,0.333333333,0.2451331,0.136864801,2.931717264,0.002551758632878,zone1,5.670455893,2.281959322,1,0,zone1,0,0.262295082
2731,Marugan,Spain,9,Pinus pinea,dominate,11.6,368700,4587389,inclinated,healthy,other,4.2,2.2,0.218,10.77652482,19.566992,7.0644,0,0,37.40791682,0.037407917,2,0.957196208,3.195729111,0.980857711,2.166666667,0.333333333,0.666666667,0.333333333,0.2451331,0.324765308,2.931717264,0.010568317686676,zone1,5.670455893,2.281959322,2.236067977,0,zone1,0,0.596153846
2732,Marugan,Spain,9,Pinus pinea,dominate,15.35,368704,4587391,inclinated,healthy,other,4.9,2.3,0.274,21.60982735,24.73321075,12.37018125,0,0,58.71321935,0.058713219,2,0.957196208,3.195729111,0.980857711,2.166666667,0.333333333,0.666666667,1,0.2451331,0.140403702,2.931717264,0.018505747875512,zone1,5.670455893,2.281959322,4.472135955,1,zone1,1,0.081632653
